design,criteria,material,response
spacecraft component,corrosion resistant,thermoplastic,6
spacecraft component,corrosion resistant,elastomer,5
spacecraft component,corrosion resistant,thermoset,6
spacecraft component,corrosion resistant,composite,9
spacecraft component,high strength,steel,8
spacecraft component,high strength,aluminium,7
spacecraft component,high strength,titanium,9
spacecraft component,high strength,glass,3
spacecraft component,high strength,wood,1
spacecraft component,high strength,thermoplastic,6
spacecraft component,high strength,elastomer,2
spacecraft component,high strength,thermoset,5
spacecraft component,high strength,composite,10
underwater component,lightweight,steel,4
underwater component,lightweight,aluminium,7
underwater component,lightweight,titanium,9
underwater component,lightweight,glass,5
underwater component,lightweight,wood,6
underwater component,lightweight,thermoplastic,8
underwater component,lightweight,elastomer,7
underwater component,lightweight,thermoset,6
underwater component,lightweight,composite,9
underwater component,heat resistant,steel,7
underwater component,heat resistant,aluminium,4
underwater component,heat resistant,titanium,9
underwater component,heat resistant,glass,8
underwater component,heat resistant,wood,2
underwater component,heat resistant,thermoplastic,5
underwater component,heat resistant,elastomer,3
underwater component,heat resistant,thermoset,6
underwater component,heat resistant,composite,10
underwater component,corrosion resistant,steel,3
underwater component,corrosion resistant,aluminium,6
underwater component,corrosion resistant,titanium,9
underwater component,corrosion resistant,glass,8
underwater component,corrosion resistant,wood,4
underwater component,corrosion resistant,thermoplastic,7
underwater component,corrosion resistant,elastomer,5
underwater component,corrosion resistant,thermoset,6
underwater component,corrosion resistant,composite,8
underwater component,high strength,steel,7
underwater component,high strength,aluminium,4
underwater component,high strength,titanium,9
underwater component,high strength,glass,6
underwater component,high strength,wood,3
underwater component,high strength,thermoplastic,5
underwater component,high strength,elastomer,4
underwater component,high strength,thermoset,6
underwater component,high strength,composite,8
safety helmet,lightweight,steel,2
safety helmet,lightweight,aluminium,6
safety helmet,lightweight,titanium,7
safety helmet,lightweight,glass,1
safety helmet,lightweight,wood,3
safety helmet,lightweight,thermoplastic,8
safety helmet,lightweight,elastomer,4
safety helmet,lightweight,thermoset,5
safety helmet,lightweight,composite,9
safety helmet,heat resistant,steel,4
safety helmet,heat resistant,aluminium,3
safety helmet,heat resistant,titanium,6
safety helmet,heat resistant,glass,2
safety helmet,heat resistant,wood,1
safety helmet,heat resistant,thermoplastic,7
safety helmet,heat resistant,elastomer,5
safety helmet,heat resistant,thermoset,8
safety helmet,heat resistant,composite,9
safety helmet,corrosion resistant,steel,4
safety helmet,corrosion resistant,aluminium,7
safety helmet,corrosion resistant,titanium,9
safety helmet,corrosion resistant,glass,2
safety helmet,corrosion resistant,wood,3
safety helmet,corrosion resistant,thermoplastic,8
safety helmet,corrosion resistant,elastomer,6
safety helmet,corrosion resistant,thermoset,5
safety helmet,corrosion resistant,composite,10
safety helmet,high strength,steel,"7,aluminium"
safety helmet,high strength,aluminium,"steel:7,aluminium:6,titanium:8,glass:2,wood:3,thermoplastic:7,elastomer:4,thermoset:6,composite:9"
safety helmet,high strength,titanium,"steel:7,aluminium:6,titanium:8,glass:2,wood:3,thermoplastic:7,elastomer:4,thermoset:6,composite:9"
safety helmet,high strength,glass,"steel:7,aluminium:6,titanium:8,glass:2,wood:3,thermoplastic:7,elastomer:4,thermoset:6,composite:9"
safety helmet,high strength,wood,"steel:7,aluminium:6,titanium:8,glass:2,wood:3,thermoplastic:7,elastomer:4,thermoset:6,composite:9"
safety helmet,high strength,thermoplastic,"steel:7,aluminium:6,titanium:8,glass:2,wood:3,thermoplastic:7,elastomer:4,thermoset:6,composite:9"
safety helmet,high strength,elastomer,"steel:7,aluminium:6,titanium:8,glass:2,wood:3,thermoplastic:7,elastomer:4,thermoset:6,composite:9"
safety helmet,high strength,thermoset,"steel:7,aluminium:6,titanium:8,glass:2,wood:3,thermoplastic:7,elastomer:4,thermoset:6,composite:9"
safety helmet,high strength,composite,"steel:7,aluminium:6,titanium:8,glass:2,wood:3,thermoplastic:7,elastomer:4,thermoset:6,composite:9"
